model_label,dataset,perplexity,nll,num_tokens,num_sequences,block_size,world_size,elapsed_s,path
candidate_restricted_late_decision_proto19_s44,c4,621876.2623171296,13.340496416749625,237336,232,1024,4,6.974540756084025,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto19_20pct_s44_20260716_183339/ppl/candidate_restricted_late_decision_proto19_s44/results.json
candidate_restricted_late_decision_proto19_s44,wikitext2,227214.51522927263,12.333649851241201,54219,53,1024,4,6.6828812984749675,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto19_20pct_s44_20260716_183339/ppl/candidate_restricted_late_decision_proto19_s44/results.json
reference_input_only_proto19_s44,c4,115.14270829192907,4.746172300700484,237336,232,1024,4,7.87440447229892,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto19_20pct_s44_20260716_183339/ppl/reference_input_only_proto19_s44/results.json
reference_input_only_proto19_s44,wikitext2,94.02876688690874,4.543600766163952,54219,53,1024,4,9.076528304256499,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto19_20pct_s44_20260716_183339/ppl/reference_input_only_proto19_s44/results.json
