model_label,dataset,perplexity,nll,num_tokens,num_sequences,block_size,world_size,elapsed_s,path
candidate_restricted_late_decision_proto22_s44,c4,1350.2263931803625,7.208027556024748,237336,232,1024,4,8.304382109083235,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto22_15pct_s44_budget_sweep_20260717_063556/ppl/candidate_restricted_late_decision_proto22_s44/results.json
candidate_restricted_late_decision_proto22_s44,wikitext2,1176.8390655190701,7.070587365132458,54219,53,1024,4,6.469940927810967,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto22_15pct_s44_budget_sweep_20260717_063556/ppl/candidate_restricted_late_decision_proto22_s44/results.json
reference_input_only_proto19_s44,c4,115.14270829192907,4.746172300700484,237336,232,1024,4,7.446403719484806,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto22_15pct_s44_budget_sweep_20260717_063556/ppl/reference_input_only_proto19_s44/results.json
reference_input_only_proto19_s44,wikitext2,94.02876688690874,4.543600766163952,54219,53,1024,4,7.070792050100863,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto22_15pct_s44_budget_sweep_20260717_063556/ppl/reference_input_only_proto19_s44/results.json
