dataset,mode,threshold,threshold_source,active_compaction_batch_size,samples,accuracy,elapsed_sec,samples_per_s,tokens_per_s,avg_exit_layer,early_exit_rate,estimated_layer_savings,wall_clock_speedup_vs_full,accuracy_delta_vs_full_runtime,exit_layer_hist
piqa,full_runtime,0.9,controller,1,1838,0.8596300326441785,29.899835591204464,61.471909917146114,14667.304730230919,28.0,0.0,0.0,,,"{""28"": 1838}"
piqa,early_runtime,0.9,controller,1,1838,0.8547334058759521,18.72268225811422,98.16969463354694,23423.460055245927,16.248095756256802,0.9951033732317737,0.41971086584797135,1.5969846189237218,-0.004896626768226331,"{""16"": 1760, ""20"": 51, ""24"": 18, ""28"": 9}"
social_i_qa,full_runtime,0.9,controller,1,1954,0.7901740020470829,31.211065685376525,62.60600069530844,20870.866972837925,28.0,0.0,0.0,,,"{""28"": 1954}"
social_i_qa,early_runtime,0.9,controller,1,1954,0.793756397134084,20.187563244253397,96.79226642453872,32267.49024231186,16.517911975435005,0.9861821903787104,0.4100745723058926,1.546054137775201,0.003582395087001089,"{""16"": 1788, ""20"": 106, ""24"": 33, ""28"": 27}"
hellaswag,full_runtime,0.9,controller,1,10042,0.9412467635929098,229.38193080108613,43.77851369953004,46660.32744000828,28.0,0.0,0.0,,,"{""28"": 10042}"
hellaswag,early_runtime,0.9,controller,1,10042,0.9406492730531767,143.18148762732744,70.13476509014421,74751.5351136583,16.199163513244372,0.9969129655447122,0.42145844595555815,1.6020362310951892,-0.0005974905397331254,"{""16"": 9669, ""20"": 277, ""24"": 65, ""28"": 31}"
winogrande,full_runtime,0.9,controller,1,1267,0.8674033149171271,20.232945661060512,62.62063968463157,11998.64834645512,28.0,0.0,0.0,,,"{""28"": 1267}"
winogrande,early_runtime,0.9,controller,1,1267,0.8650355169692187,12.683688217774034,99.89208014625547,19140.174043367126,16.126282557221785,1.0,0.42406133724207906,1.5951941827699199,-0.0023677979479084232,"{""16"": 1232, ""20"": 30, ""24"": 5}"
ARC-Challenge,full_runtime,0.9,controller,1,1172,0.773037542662116,19.691549003124237,59.51791805784562,32145.972868846853,28.0,0.0,0.0,,,"{""28"": 1172}"
ARC-Challenge,early_runtime,0.9,controller,1,1172,0.7713310580204779,13.556706806644797,86.4516741946168,46693.05082925701,17.300341296928327,0.962457337883959,0.38213066796684547,1.4525318931786928,-0.0017064846416381396,"{""16"": 936, ""20"": 135, ""24"": 57, ""28"": 44}"
ARC-Easy,full_runtime,0.9,controller,1,2376,0.8867845117845118,39.38154977466911,60.33282117120449,30239.744418743,28.0,0.0,0.0,,,"{""28"": 2376}"
ARC-Easy,early_runtime,0.9,controller,1,2376,0.8800505050505051,26.449523870833218,89.83148474064198,45024.93148140305,16.757575757575758,0.9810606060606061,0.4015151515151515,1.488932275945295,-0.006734006734006703,"{""16"": 2092, ""20"": 163, ""24"": 76, ""28"": 45}"
openbookqa,full_runtime,0.9,controller,1,500,0.834,8.197277138009667,60.99586381940993,27031.90294403081,28.0,0.0,0.0,,,"{""28"": 500}"
openbookqa,early_runtime,0.9,controller,1,500,0.84,5.461918229237199,91.54293034332538,40569.62969783357,16.944,0.974,0.3948571428571429,1.5008055400995053,0.006000000000000005,"{""16"": 428, ""20"": 39, ""24"": 20, ""28"": 13}"
