target_compression_pct,prototype_count,static_macro_accuracy,paired_full_macro_accuracy,adaptive_exit_macro_accuracy,macro_accuracy_delta,average_exit_layer,estimated_layer_savings,wall_clock_speedup_vs_full,decision_threshold,calibration_macro_accuracy,calibration_full_macro_accuracy,paper_safe_at_0p5pp_macro_drop
15,22,0.8538185602149503,0.8536966684548333,0.8541150178026288,0.00041834934779549915,17.31620450154055,0.3815641249449804,1.4857830303056796,0.5,0.9640000000000001,0.9651428571428572,True
20,19,0.8566311966675808,0.8566169707023491,0.8552604180846234,-0.0013565526177257148,18.156561700349886,0.3515513678446469,1.3990753829654585,0.5,0.9554285714285714,0.9560000000000001,True
25,17,0.8503251668068466,0.8503251668068466,0.8493651651576306,-0.0009600016492159469,16.38769648545616,0.41472512551942287,1.5733871805792776,0.5,0.9565714285714285,0.96,True
30,15,0.8319922406062751,0.8319922406062752,0.8288964508655917,-0.0030957897406834745,17.163925009138858,0.38700267824504075,1.4877320675422951,0.5,0.952,0.9502857142857143,True
