design,compression,macro_accuracy_pct,aggregate_samples_per_s,task_geomean_samples_per_s,task_geomean_speedup_vs_teacher,source_job
Merged teacher,0%,82.29472648994218,55.87757173144629,66.28591384700164,1.0,266325
FLAP,25%,65.23273634552,61.92230310965376,69.87033784632195,1.0540751992586792,266375
Tyr,25%,73.28457048278236,57.06949975130802,68.21595216332408,1.0291168696983983,266375
LLM-Streamline,25%,81.89673086204358,75.23407360967973,88.8974100884098,1.341120683552754,266375
FAD (static),25%,85.03251668068465,52.05858523365138,60.20879769183855,0.9083196443638076,266325
FAD-AE,25%,84.93651651576306,81.8433115440951,92.02332194247464,1.463,266325
