model_label,dataset,perplexity,nll,num_tokens,num_sequences,block_size,world_size,elapsed_s,path
candidate_restricted_late_decision_proto17_s44,c4,1199123.301666534,13.997101265808631,237336,232,1024,4,17.45360815152526,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto17_25pct_s44_budget_sweep_20260717_063556/ppl/candidate_restricted_late_decision_proto17_s44/results.json
candidate_restricted_late_decision_proto17_s44,wikitext2,656491.1161641909,13.394664440514907,54219,53,1024,4,6.5151829002425075,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto17_25pct_s44_budget_sweep_20260717_063556/ppl/candidate_restricted_late_decision_proto17_s44/results.json
reference_input_only_proto19_s44,c4,115.14270829192907,4.746172300700484,237336,232,1024,4,9.720001061446965,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto17_25pct_s44_budget_sweep_20260717_063556/ppl/reference_input_only_proto19_s44/results.json
reference_input_only_proto19_s44,wikitext2,94.02876688690874,4.543600766163952,54219,53,1024,4,6.634492311626673,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto17_25pct_s44_budget_sweep_20260717_063556/ppl/reference_input_only_proto19_s44/results.json
