dataset,mode,threshold,threshold_source,active_compaction_batch_size,samples,accuracy,elapsed_sec,samples_per_s,tokens_per_s,avg_exit_layer,early_exit_rate,estimated_layer_savings,wall_clock_speedup_vs_full,accuracy_delta_vs_full_runtime,exit_layer_hist
piqa,full_runtime,0.9,controller,1,1838,0.8705114254624592,28.444024571217597,64.61814133924865,15418.001025205383,28.0,0.0,0.0,,,"{""28"": 1838}"
piqa,early_runtime,0.9,controller,1,1838,0.8661588683351469,18.733038692735136,98.11542217722506,23410.510552677937,16.822633297062023,0.9689880304678999,0.3991916679620706,1.5183881823854066,-0.0043525571273123065,"{""16"": 1636, ""20"": 83, ""24"": 62, ""28"": 57}"
social_i_qa,full_runtime,0.9,controller,1,1954,0.8106448311156602,29.597636439837515,66.01878511386725,22008.581709694656,28.0,0.0,0.0,,,"{""28"": 1954}"
social_i_qa,early_runtime,0.9,controller,1,1954,0.8111566018423746,21.5718045681715,90.58120259827793,30196.917366900427,18.032753326509724,0.9181166837256909,0.35597309548179557,1.3720519461551153,0.0005117707267143778,"{""16"": 1450, ""20"": 175, ""24"": 169, ""28"": 160}"
hellaswag,full_runtime,0.9,controller,1,10042,0.9455287791276639,226.27680390607566,44.37927276084514,47300.63274379057,28.0,0.0,0.0,,,"{""28"": 10042}"
hellaswag,early_runtime,0.9,controller,1,10042,0.9451304521011751,146.75315018650144,68.42783263758298,72932.2402033485,16.89703246365266,0.981876120294762,0.3965345548695478,1.5418872005030997,-0.00039832702648878726,"{""16"": 8513, ""20"": 988, ""24"": 359, ""28"": 182}"
winogrande,full_runtime,0.9,controller,1,1267,0.8642462509865825,19.185822976753116,66.03834516430105,12653.509849129468,28.0,0.0,0.0,,,"{""28"": 1267}"
winogrande,early_runtime,0.9,controller,1,1267,0.8610891870560379,12.971910690888762,97.67258117880183,18714.899122032646,16.830307813733228,0.9857932123125493,0.3989175780809562,1.4790282969053197,-0.0031570639305446013,"{""16"": 1084, ""20"": 121, ""24"": 44, ""28"": 18}"
ARC-Challenge,full_runtime,0.9,controller,1,1172,0.7619453924914675,19.068874772638083,61.461413637353274,33195.66610759315,28.0,0.0,0.0,,,"{""28"": 1172}"
ARC-Challenge,early_runtime,0.9,controller,1,1172,0.7627986348122867,14.879087939858437,78.7682689111891,42543.19905619313,19.286689419795223,0.8694539249146758,0.311189663578742,1.2815889555673605,0.0008532423208191808,"{""16"": 695, ""20"": 144, ""24"": 180, ""28"": 153}"
ARC-Easy,full_runtime,0.9,controller,1,2376,0.875,37.89958289451897,62.691982827695355,31422.192780180332,28.0,0.0,0.0,,,"{""28"": 2376}"
ARC-Easy,early_runtime,0.9,controller,1,2376,0.8804713804713805,27.14392595179379,87.53339528775805,43873.09345431297,17.910774410774412,0.9385521885521886,0.3603294853294853,1.3962454422336206,0.005471380471380516,"{""16"": 1758, ""20"": 247, ""24"": 225, ""28"": 146}"
openbookqa,full_runtime,0.9,controller,1,500,0.848,7.727120976895094,64.70715309040104,28676.657277991566,28.0,0.0,0.0,,,"{""28"": 500}"
openbookqa,early_runtime,0.9,controller,1,500,0.852,5.7624487010762095,86.76866831050812,38453.79134717775,18.536,0.912,0.33799999999999997,1.3409439940787597,0.0040000000000000036,"{""16"": 337, ""20"": 53, ""24"": 66, ""28"": 44}"
