id,label,family,common,mmlu0,mmlu5
opt3b_ce,CE only,core,0.857553228749214,0.27602905569007263,0.3151972653468167
opt3b_kl,Logit KL,core,0.8497469914682645,0.40727816550348955,0.42992451217775246
opt3b_hidden,Hidden MSE,core,0.8498123315572871,0.45719982908417606,0.4764278592793049
opt3b_ambient,Ambient,core,0.8552588834343202,0.41774675972083747,0.4504344110525566
opt3b_isotropic,Projected isotropic,core,0.8502981611439918,0.45734225893747327,0.47578692493946734
opt3b_fad,FAD,core,0.8530386861513908,0.5196553197550207,0.5410197977496083
opt3b_coord_random,Random subspace,ablation,0.8527674826613504,0.4762142144993591,0.5237145705739923
opt3b_coord_hidden,Hidden-state PCA,ablation,0.8500748039241957,0.40848881925651614,0.4849024355504914
opt3b_metric_global,Global metric,ablation,0.8538417366754292,0.4821962683378436,0.5183022361486967
opt3b_metric_shrink,Shrinkage metric,ablation,0.8530541038718827,0.49601196410767695,0.5265631676399374
opt3b_proj_r32,FAD r=32,ablation,0.8512875455178175,0.3738071499786355,0.4307078763708873
opt3b_proj_r64,FAD r=64,ablation,0.8523845079695063,0.43946731234866826,0.5031334567725395
opt3b_proj_r128,FAD r=128,ablation,0.8557376632446476,0.4640364620424441,0.49216635806865117
fad_kl025,FAD + KL(.25),remedy,0.8506932751508716,0.4134026491952713,0.5206523287281014
fad_c4r_mild,FAD + C4 replay(1/10),remedy,0.8539791081458014,0.47222617860703603,0.5282011109528557
fad_c4r_strong,FAD + C4 replay(1/4),remedy,0.8527495349149392,0.45641646489104115,0.5267055974932345
fad_kl025_c4r,FAD + KL + C4 replay,remedy,0.8486882552589173,0.4161088164079191,0.5207947585813987
