objective,commonsense_mean,commonsense_sd,mmlu_0_mean,mmlu_0_sd,mmlu_5_mean,mmlu_5_sd,wikitext_nll_mean,wikitext_nll_sd,c4_nll_mean,c4_nll_sd
ce,0.851025570754927,0.005663050545740834,0.33371314627545934,0.05342690743581369,0.3407871623225561,0.04469355597291612,15.212432963293304,0.3707566177708677,15.807114305167362,0.22958227521952285
kl,0.8490654502617085,0.0007715061347743096,0.39875611261453736,0.011157434476533454,0.43377011821677824,0.004721716124270266,8.771223110222966,0.1172203554234756,9.178625792607495,0.14671207574847397
hidden,0.850568285602401,0.0006546754373968269,0.4426245074300907,0.0220573601932708,0.4571048758486445,0.023070265734250143,11.966485521328524,0.26478495036451416,12.30168615264454,0.24061848603167696
ambient,0.8516915522953593,0.003861485707463453,0.4098893794806058,0.014733460181961302,0.4350282485875706,0.01423057665803675,13.24092265794862,0.07189108947373966,13.631759462685421,0.2934896493982443
isotropic,0.8495696368094038,0.0006497320493827225,0.45019702796372785,0.007229747397077786,0.48601813606798655,0.011213204237835828,13.361486686850494,0.11734814796017357,14.250564035327955,0.1949974254883814
fad,0.8484283453005872,0.004242001582627471,0.4755020652328728,0.03840327236209306,0.5209371884346959,0.019570374956966004,13.151340628569981,0.04225463192875203,13.906662257238366,0.10078637975021057
