K,objective,seed,samples,state_drift_definition,final_state_drift,final_state_drift_normalized,mean_velocity_error,mean_fad_error,mean_velocity_cosine,mean_velocity_norm_ratio
19,ce,44,128,mean_raw_l2,124.70135498046875,1.4176063537597656,14.753990173339844,37.00075912475586,0.3851148188114166,1.9101094007492065
19,kl,44,128,mean_raw_l2,36.29191207885742,0.412502259016037,6.772942543029785,19.413726806640625,0.5139445066452026,0.931284487247467
19,hidden,44,128,mean_raw_l2,77.08333587646484,0.8762207627296448,5.791392803192139,19.329029083251953,0.5026604533195496,0.7393226623535156
19,ambient,44,128,mean_raw_l2,90.64779663085938,1.0304445028305054,6.629181385040283,21.53171157836914,0.44952425360679626,0.9005757570266724
19,isotropic,44,128,mean_raw_l2,94.64471435546875,1.0758692026138306,7.512374401092529,21.118741989135742,0.4575941860675812,1.0819284915924072
19,fad,44,128,mean_raw_l2,84.63703155517578,0.9620869755744934,6.972282409667969,16.59589195251465,0.580933153629303,0.9718512892723083
15,ce,44,128,mean_raw_l2,128.3678436279297,1.4592872858047485,38.494598388671875,101.93598175048828,0.21851296722888947,5.589028358459473
15,kl,44,128,mean_raw_l2,34.28013610839844,0.389639675617218,6.776036739349365,21.101947784423828,0.3825930953025818,0.9182135462760925
15,hidden,44,128,mean_raw_l2,94.1795883178711,1.0706173181533813,8.238188743591309,25.594593048095703,0.24873831868171692,1.1773895025253296
15,ambient,44,128,mean_raw_l2,93.73217010498047,1.0655452013015747,6.577889919281006,24.727144241333008,0.2292400747537613,0.7577046751976013
15,isotropic,44,128,mean_raw_l2,100.54115295410156,1.1429325342178345,7.524190425872803,21.934558868408203,0.3605809807777405,1.0189871788024902
15,fad,44,128,mean_raw_l2,92.32190704345703,1.0494903326034546,6.741798400878906,19.798749923706055,0.4193674921989441,0.9174448251724243
17,kl,44,128,mean_raw_l2,31.008302688598633,0.3524478077888489,6.060539722442627,19.855314254760742,0.45246973633766174,0.929688572883606
17,hidden,44,128,mean_raw_l2,75.62269592285156,0.8596331477165222,5.947133541107178,21.12069320678711,0.3979337215423584,0.7515110373497009
17,ambient,44,128,mean_raw_l2,89.76333618164062,1.0203967094421387,6.842405796051025,24.404115676879883,0.28330764174461365,0.8205532431602478
17,isotropic,44,128,mean_raw_l2,85.34870147705078,0.9702059030532837,6.846451759338379,20.77358627319336,0.412731796503067,0.9569500088691711
17,fad,44,128,mean_raw_l2,90.45409393310547,1.0282554626464844,6.135922908782959,18.248964309692383,0.48091188073158264,0.8975479006767273
19,kl,42,128,mean_raw_l2,36.4519157409668,0.41432029008865356,6.82224178314209,19.48624610900879,0.5048860311508179,0.918393611907959
19,hidden,42,128,mean_raw_l2,77.8479995727539,0.8848971724510193,5.834269046783447,19.269559860229492,0.5011030435562134,0.7655017971992493
19,ambient,42,128,mean_raw_l2,90.66970825195312,1.030710220336914,6.29004430770874,21.619535446166992,0.4247758388519287,0.8549562096595764
19,fad,42,128,mean_raw_l2,86.23206329345703,0.9802206754684448,7.012024879455566,16.87347984313965,0.5781055688858032,0.9788541793823242
19,kl,43,128,mean_raw_l2,36.31315231323242,0.41274377703666687,6.801918983459473,19.285018920898438,0.5105048418045044,0.9182425737380981
19,hidden,43,128,mean_raw_l2,77.93975067138672,0.885959804058075,5.836674213409424,19.201309204101562,0.5028630495071411,0.7629551291465759
19,ambient,43,128,mean_raw_l2,90.10964965820312,1.0243247747421265,6.187587738037109,20.866884231567383,0.4505528509616852,0.8551586270332336
19,fad,43,128,mean_raw_l2,86.18807983398438,0.9797334671020508,6.752896785736084,16.483949661254883,0.5775221586227417,0.9645455479621887
