id,wikitext_nll,wikitext_ppl,c4_nll,c4_ppl,c4_tokens
base,2.233136440223118,9.32908034397299,2.456425789358287,11.663050753397082,237336
fad_c4r_mild,6.687084215991902,801.9804379551393,6.398292623717209,600.8183386588607,237336
fad_c4r_strong,7.533467229807152,1869.5765302779619,7.188867967704247,1324.6028633291455,237336
fad_kl025,10.149016326328493,25565.94129031845,10.57415470994752,39110.83079118609,237336
fad_kl025_c4r,7.374837866369283,1595.333152373207,7.474119677625853,1761.8500093149407,237336
opt3b_ambient,13.301791586965885,598266.5006776208,13.535126727202844,755493.7040729614,237336
opt3b_ce,15.57760553539924,5824627.083689703,15.963421986020844,8566947.013908494,237336
opt3b_coord_hidden,13.488441539260576,721033.9764788364,14.208086992132253,1480791.0439870225,237336
opt3b_coord_random,13.018760267293677,450791.5278101931,13.886071127036523,1073109.5647130972,237336
opt3b_fad,13.120706018411889,499172.0068342699,14.010466789377146,1215257.795208993,237336
opt3b_hidden,11.700524132206755,120634.92706979602,12.02952257107044,167631.36157100464,237336
opt3b_isotropic,13.26938906255758,579191.8579555089,14.090685466240192,1316760.9671175787,237336
opt3b_kl,8.645804432203185,5686.239613044489,9.023760197491482,8297.920311358395,237336
opt3b_metric_global,12.307304220379523,221306.57145509354,13.015471865390909,449311.5787596567,237336
opt3b_metric_shrink,13.228720826922723,556109.6838690605,13.99403401078849,1195450.9196449877,237336
opt3b_proj_r128,13.139388516264141,508585.4462601544,13.80433923211591,988890.8416989135,237336
opt3b_proj_r32,13.664491005663601,859830.8868228239,14.521861216117596,2026582.0568087425,237336
opt3b_proj_r64,14.061111072324357,1278388.7735626332,14.663946361377322,2335990.045033561,237336
teacher,2.5181495153679037,12.405619002913893,2.7600496372786063,15.800627228931374,237336
