objective,seed,commonsense,mmlu_0,mmlu_5,wikitext_nll,c4_nll
ce,42,0.8480970063038239,0.3436120210796183,0.31476997578692495,15.223359503836003,15.914389569183875
ce,43,0.8474264772117432,0.3814983620566871,0.3923942458339268,14.83633385064467,15.543531360297367
ce,44,0.857553228749214,0.27602905569007263,0.3151972653468167,15.57760553539924,15.963421986020844
kl,42,0.8482278417534564,0.40286284005127476,0.4390400227887765,8.878014510532594,9.315530589942274
kl,43,0.8492215175634048,0.38612733228884777,0.4323458196838057,8.78985038793312,9.196586590388726
kl,44,0.8497469914682645,0.40727816550348955,0.42992451217775246,8.645804432203185,9.023760197491482
hidden,42,0.8509460636585373,0.4172482552342971,0.43156245549067085,12.230078139395085,12.48616726645108
hidden,43,0.8509464615913787,0.4534254379717989,0.4633243127759578,11.968854292383734,12.389368620412103
hidden,44,0.8498123315572871,0.45719982908417606,0.4764278592793049,11.700524132206755,12.02952257107044
ambient,42,0.8475912764268224,0.39289275032046717,0.42237572995299816,13.259371307660949,13.961381287410342
ambient,43,0.8522244970249354,0.41902862840051275,0.4322746047571571,13.161605079219026,13.398770373443078
ambient,44,0.8552588834343202,0.41774675972083747,0.4504344110525566,13.301791586965885,13.535126727202844
isotropic,42,0.849360587258961,0.4428856288278023,0.48426150121065376,13.321459320356261,14.193196625545108
isotropic,43,0.8490501620252584,0.45036319612590797,0.4980059820538385,13.49361167763764,14.467810014198566
isotropic,44,0.8502981611439918,0.45734225893747327,0.47578692493946734,13.26938906255758,14.090685466240192
fad,42,0.8446902947837008,0.4498646916393676,0.5019228030195129,13.199545536401137,13.900327070006009
fad,43,0.8475560549666701,0.45698618430423016,0.5198689645349666,13.133770330896917,13.809192912331943
fad,44,0.8530386861513908,0.5196553197550207,0.5410197977496083,13.120706018411889,14.010466789377146
