dataset,mode,threshold,threshold_source,active_compaction_batch_size,samples,accuracy,elapsed_sec,samples_per_s,tokens_per_s,avg_exit_layer,early_exit_rate,estimated_layer_savings,wall_clock_speedup_vs_full,accuracy_delta_vs_full_runtime,exit_layer_hist
piqa,full_runtime,0.9,controller,1,1838,0.8585418933623504,30.61920255422592,60.0276900335645,14322.711351588527,28.0,0.0,0.0,,,"{""28"": 1838}"
piqa,early_runtime,0.9,controller,1,1838,0.8569096844396082,20.728330869227648,88.6709118836294,21157.033953517777,17.201305767138194,0.9374319912948857,0.3856676511736359,1.4771668180809396,-0.0016322089227421843,"{""16"": 1575, ""20"": 89, ""24"": 59, ""28"": 115}"
social_i_qa,full_runtime,0.9,controller,1,1954,0.7911975435005117,31.980304416269064,61.100106320625216,20368.8492617543,28.0,0.0,0.0,,,"{""28"": 1954}"
social_i_qa,early_runtime,0.9,controller,1,1954,0.7865916069600819,23.203028244897723,84.2131457746115,28074.007975370256,18.03684749232344,0.8955987717502559,0.3558268752741629,1.3782814932055878,-0.004605936540429845,"{""16"": 1448, ""20"": 221, ""24"": 81, ""28"": 204}"
hellaswag,full_runtime,0.9,controller,1,10042,0.9344752041426011,232.84808391239494,43.1268311564811,45965.746508040116,28.0,0.0,0.0,,,"{""28"": 10042}"
hellaswag,early_runtime,0.9,controller,1,10042,0.9325831507667796,150.28416735026985,66.82007943388301,71218.65322681832,16.59788886675961,0.979187412865963,0.4072182547585853,1.549385327928071,-0.0018920533758215452,"{""16"": 9127, ""20"": 538, ""24"": 168, ""28"": 209}"
winogrande,full_runtime,0.9,controller,1,1267,0.8279400157853196,20.81518359389156,60.86902833621005,11663.024681235234,28.0,0.0,0.0,,,"{""28"": 1267}"
winogrande,early_runtime,0.9,controller,1,1267,0.8279400157853196,13.875736707821488,91.31046708934858,17495.863831370934,16.666140489344908,0.9707971586424625,0.40478069680911044,1.500113762043239,0.0,"{""16"": 1166, ""20"": 28, ""24"": 36, ""28"": 37}"
ARC-Challenge,full_runtime,0.9,controller,1,1172,0.7457337883959044,20.200912319123745,58.01718167404223,31335.416440610432,28.0,0.0,0.0,,,"{""28"": 1172}"
ARC-Challenge,early_runtime,0.9,controller,1,1172,0.7406143344709898,15.797789079137146,74.18759638636807,40069.15124825643,19.33788395904437,0.8148464163822525,0.30936128717698685,1.2787176875149855,-0.005119453924914641,"{""16"": 706, ""20"": 171, ""24"": 78, ""28"": 217}"
ARC-Easy,full_runtime,0.9,controller,1,2376,0.8640572390572391,40.322930132970214,58.92428928564528,29533.76642205536,28.0,0.0,0.0,,,"{""28"": 2376}"
ARC-Easy,early_runtime,0.9,controller,1,2376,0.8636363636363636,28.790932497009635,82.52598279846555,41363.30075879589,17.835016835016834,0.9145622895622896,0.36303511303511304,1.4005426929870488,-0.00042087542087543284,"{""16"": 1809, ""20"": 247, ""24"": 117, ""28"": 203}"
openbookqa,full_runtime,0.9,controller,1,500,0.802,8.170142587274313,61.19844233548533,27121.68088047105,28.0,0.0,0.0,,,"{""28"": 500}"
openbookqa,early_runtime,0.9,controller,1,500,0.794,6.074106740765274,82.31663046754514,36480.755024084785,17.96,0.92,0.35857142857142854,1.3450772164476255,-0.008000000000000007,"{""16"": 370, ""20"": 55, ""24"": 35, ""28"": 40}"
