model_label,dataset,perplexity,nll,num_tokens,num_sequences,block_size,world_size,elapsed_s,path
candidate_restricted_late_decision_proto15_s44,c4,203353.5031666825,12.222701138463513,237336,232,1024,4,8.61005428340286,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto15_30pct_s44_budget_sweep_20260717_063556/ppl/candidate_restricted_late_decision_proto15_s44/results.json
candidate_restricted_late_decision_proto15_s44,wikitext2,118963.14900667276,11.686569051922492,54219,53,1024,4,6.682694178074598,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto15_30pct_s44_budget_sweep_20260717_063556/ppl/candidate_restricted_late_decision_proto15_s44/results.json
reference_input_only_proto19_s44,c4,115.14270829192907,4.746172300700484,237336,232,1024,4,8.372105953283608,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto15_30pct_s44_budget_sweep_20260717_063556/ppl/reference_input_only_proto19_s44/results.json
reference_input_only_proto19_s44,wikitext2,94.02876688690874,4.543600766163952,54219,53,1024,4,6.535966360010207,source://local-results/newthesis_final_llama_restricted_late_ifgate_decision_proto15_30pct_s44_budget_sweep_20260717_063556/ppl/reference_input_only_proto19_s44/results.json
